Date,Open,High,Low,Close,Adj Close,Volume
2023-04-01,1821.704346,1840.173096,1811.118530,1813.860596,1813.860596,5556443606
2023-04-02,1821.192139,1824.328857,1774.872437,1795.708130,1795.708130,6199721188
2023-04-03,1794.922485,1839.157837,1765.518921,1810.297119,1810.297119,9643826401
2023-04-04,1810.142090,1886.594604,1802.955444,1871.005127,1871.005127,10398322335
2023-04-05,1870.965088,1937.497559,1865.941895,1909.114014,1909.114014,10319231689
2023-04-06,1909.143555,1909.271729,1857.085083,1872.922607,1872.922607,8263191830
2023-04-07,1872.734131,1882.299194,1845.993896,1865.636108,1865.636108,8356130492
2023-04-08,1864.679077,1879.107788,1848.875488,1849.498169,1849.498169,5016362733
2023-04-09,1849.672241,1873.057373,1828.700073,1859.387817,1859.387817,6361497715
2023-04-10,1859.741211,1917.300171,1848.164185,1911.207520,1911.207520,8380134275
2023-04-11,1911.375854,1936.728271,1886.534180,1892.189697,1892.189697,8877222956
2023-04-12,1891.949707,1929.881226,1860.036865,1920.682129,1920.682129,11010714187
2023-04-13,1917.698364,2022.150146,1901.860352,2012.634644,2012.634644,12546950499
2023-04-14,2013.930664,2126.316650,2011.503296,2101.635498,2101.635498,16298099411
2023-04-15,2101.616455,2111.075439,2076.510742,2092.466797,2092.466797,8036468153
2023-04-16,2092.281006,2137.445068,2076.832031,2120.005859,2120.005859,7898126856
2023-04-17,2120.001221,2120.113525,2063.038574,2076.242920,2076.242920,9648882546
2023-04-18,2075.855225,2121.531494,2057.653809,2104.537354,2104.537354,9134015143
2023-04-19,2103.946289,2104.857178,1928.582886,1936.403442,1936.403442,13779745451
2023-04-20,1936.417969,1979.573364,1918.132813,1943.097656,1943.097656,11324135406
2023-04-21,1943.409912,1955.649170,1827.788940,1849.999878,1849.999878,12044274581
2023-04-22,1849.286499,1886.781616,1845.849243,1874.228638,1874.228638,6970642726
2023-04-23,1874.171509,1882.229736,1838.992432,1862.062012,1862.062012,6607451862
2023-04-24,1862.085327,1888.193726,1811.792114,1842.757446,1842.757446,8438191338
2023-04-25,1842.204346,1877.484985,1805.322876,1866.753662,1866.753662,8677255481
2023-04-26,1866.148926,1962.567627,1792.463867,1866.564209,1866.564209,14356524696
2023-04-27,1866.693237,1936.945190,1863.147949,1908.786377,1908.786377,14008145806
2023-04-28,1909.273071,1923.199219,1876.291870,1892.512817,1892.512817,7691759733
2023-04-29,1892.565063,1916.973755,1887.990479,1908.916992,1908.916992,4796651246
2023-04-30,1908.741333,1938.417969,1876.924316,1876.924316,1876.924316,6539641957
2023-05-01,1868.891113,1886.206421,1809.193237,1831.954834,1831.954834,8625783201
2023-05-02,1831.726563,1879.759521,1824.327026,1870.789307,1870.789307,7536785767
2023-05-03,1870.687134,1915.504150,1845.871826,1904.651855,1904.651855,8306390869
2023-05-04,1905.168945,1915.871704,1868.629761,1877.704102,1877.704102,6578438233
2023-05-05,1877.833130,1998.413574,1876.946655,1995.060913,1995.060913,9498261360
2023-05-06,1995.479126,2017.559448,1870.605591,1900.221802,1900.221802,9623243037
2023-05-07,1899.917603,1933.998413,1873.076416,1873.076416,1873.076416,6883942236
2023-05-08,1872.475098,1886.162109,1818.450562,1849.042725,1849.042725,9895102899
2023-05-09,1849.061035,1860.667480,1832.906982,1848.603149,1848.603149,6129516088
2023-05-10,1848.213501,1886.800293,1795.668823,1842.401489,1842.401489,9945549603
2023-05-11,1842.492065,1842.492065,1774.132568,1796.490601,1796.490601,8353828312
2023-05-12,1795.176636,1812.424927,1742.403809,1808.019775,1808.019775,9047198660
2023-05-13,1808.375000,1816.058472,1788.475586,1796.114868,1796.114868,4647630864
2023-05-14,1796.107910,1823.490723,1793.228760,1800.500977,1800.500977,4711210241
2023-05-15,1800.371216,1845.695435,1787.536377,1817.549927,1817.549927,6748889346
2023-05-16,1816.824219,1830.351563,1797.843750,1824.121460,1824.121460,5595959668
2023-05-17,1824.068359,1835.554565,1786.671997,1821.859619,1821.859619,6352161579
2023-05-18,1822.068237,1831.450317,1774.195068,1801.728516,1801.728516,5673124255
2023-05-19,1800.994385,1826.194214,1797.434448,1812.589478,1812.589478,4796110259
2023-05-20,1812.766113,1829.009644,1808.046753,1820.478027,1820.478027,2951655969
2023-05-21,1820.138062,1827.921997,1799.946899,1804.531372,1804.531372,3386768865
2023-05-22,1804.841919,1826.696533,1793.223999,1817.534790,1817.534790,4534841049
2023-05-23,1817.781128,1869.343994,1816.287964,1854.380615,1854.380615,6820047160
2023-05-24,1854.299683,1854.299683,1780.925537,1800.099976,1800.099976,7101647419
2023-05-25,1799.845215,1815.994751,1763.365112,1805.953735,1805.953735,6321689859
2023-05-26,1805.725464,1837.865845,1798.406006,1828.689697,1828.689697,5451414258
2023-05-27,1828.575684,1836.184570,1817.492065,1831.118286,1831.118286,3216737652
2023-05-28,1831.098633,1915.723267,1825.467285,1910.914185,1910.914185,6359610561
2023-05-29,1909.297485,1926.421753,1879.077515,1893.078125,1893.078125,5884674572
2023-05-30,1893.093140,1916.574951,1883.934692,1901.026611,1901.026611,5363439784
2023-05-31,1901.098267,1907.035400,1852.094727,1874.130493,1874.130493,5984512548
2023-06-01,1873.914673,1887.705322,1846.227417,1862.201416,1862.201416,5640027197
2023-06-02,1862.423706,1910.278442,1851.964722,1907.256592,1907.256592,6097746022
2023-06-03,1907.420776,1908.822266,1885.485474,1892.412476,1892.412476,3472274607
2023-06-04,1892.398193,1912.205688,1885.651855,1890.513550,1890.513550,3747042696
2023-06-05,1890.417603,1890.640503,1780.211548,1811.828369,1811.828369,9246593033
2023-06-06,1810.581421,1896.222656,1801.405273,1884.494873,1884.494873,8704411776
2023-06-07,1884.372925,1893.809082,1822.303101,1832.395996,1832.395996,7919894455
2023-06-08,1832.513550,1861.136108,1830.165039,1846.301880,1846.301880,4536041931
2023-06-09,1846.077881,1854.824951,1828.544556,1840.225220,1840.225220,4610831509
2023-06-10,1840.391968,1844.785645,1721.443115,1752.384766,1752.384766,10788500406
2023-06-11,1752.527588,1776.847168,1741.110474,1753.415283,1753.415283,4559112981
2023-06-12,1753.075439,1757.659790,1722.906372,1742.528687,1742.528687,6031384958
2023-06-13,1742.390137,1761.955444,1727.749878,1739.037598,1739.037598,6214125203
2023-06-14,1739.250122,1749.163208,1637.187744,1650.519287,1650.519287,7462905534
2023-06-15,1650.498169,1676.406616,1624.138306,1665.519775,1665.519775,7328564880
2023-06-16,1665.410645,1727.289551,1653.170898,1716.668823,1716.668823,6281023479
2023-06-17,1716.671753,1766.763184,1714.150879,1727.204102,1727.204102,4875187477
2023-06-18,1727.193726,1746.509155,1718.111450,1720.577515,1720.577515,3820038842
2023-06-19,1720.505371,1745.134644,1705.813477,1737.659424,1737.659424,5210480121
2023-06-20,1736.879761,1793.313965,1715.342529,1792.119995,1792.119995,7171072578
2023-06-21,1791.994995,1898.668945,1788.489258,1891.007202,1891.007202,11731457711
2023-06-22,1889.794434,1932.065552,1867.876587,1872.942993,1872.942993,8477657143
